Student GPA,Dropout Rate,Failure Rate,Semester,Degree Program,Course Load,Total Household Income,Housing Type,Employment,Debts,Category,Number of Scholarships Awarded,Resolution,Reason
95.50,2.00,0.00,3,LCE,85.00,12500.00,VIVIENDA_IMPROVISADA,1,1,EXCELENCIA_ACADEMICA,150,Aceptada,Excelente rendimiento academico y situacion economica precaria
45.20,35.00,40.00,8,LAE,60.00,45000.00,CASA_PROPIA,0,0,ESCASOS_RECURSOS,200,Rechazada,Promedio academico insuficiente para beca de excelencia
82.30,8.50,5.00,5,LCP,75.00,28000.00,DEPARTAMENTO,1,1,CONSTANCIA,100,Devuelta,Documentacion socioeconomica incompleta para validacion
78.90,12.00,15.00,6,LEI,70.00,32000.00,RESIDENCIA,0,1,ESTUDIANTE_TRABAJO,80,Aceptada,Situacion economica critica con buen rendimiento academico
88.60,3.00,2.00,2,IME,80.00,18500.00,VIVIENDA_IMPROVISADA,1,0,EXCELENCIA_ACADEMICA,145,Rechazada,Indices de reprobacion y bajas demasiado elevados
52.10,25.00,30.00,10,LTA,55.00,62000.00,CASA_PROPIA,0,1,ESCASOS_RECURSOS,195,Aceptada,Estudiante trabajador con buen desempeño academico
91.20,1.50,1.00,4,IQ,88.00,23500.00,DEPARTAMENTO,1,0,CONSTANCIA,95,Rechazada,Ingreso familiar excede limite para beca economica
65.40,18.00,22.00,7,LM,65.00,38000.00,RESIDENCIA,0,0,ESTUDIANTE_TRABAJO,75,Devuelta,Falta documentacion comprobatoria de empleo
85.70,5.00,4.00,3,ISW,78.00,14200.00,VIVIENDA_IMPROVISADA,1,1,EXCELENCIA_ACADEMICA,155,Aceptada,Constancia academica destacada sin deudas
48.90,32.00,38.00,9,IB,58.00,58000.00,CASA_PROPIA,0,1,ESCASOS_RECURSOS,205,Rechazada,Numero de becas agotado para esta categoria
96.80,0.50,0.00,1,MCI,92.00,26500.00,DEPARTAMENTO,1,0,CONSTANCIA,105,Aceptada,Excelencia academica con carga academica completa
59.30,20.00,25.00,6,LARQ,62.00,42000.00,RESIDENCIA,0,1,ESTUDIANTE_TRABAJO,85,Rechazada,Semestres avanzados con bajo rendimiento academico
83.50,7.00,6.00,4,LEF,77.00,16800.00,VIVIENDA_IMPROVISADA,1,0,EXCELENCIA_ACADEMICA,148,Devuelta,Informacion de vivienda requiere verificacion
71.20,15.00,18.00,5,LG,68.00,51000.00,CASA_PROPIA,0,0,ESCASOS_RECURSOS,198,Aceptada,Escasos recursos con potencial academico demostrado
89.40,2.50,1.50,2,MATI,84.00,29500.00,DEPARTAMENTO,1,1,CONSTANCIA,98,Rechazada,Deudas existentes afectan elegibilidad constancia
55.60,28.00,35.00,8,LCPM,57.00,35500.00,RESIDENCIA,0,0,ESTUDIANTE_TRABAJO,78,Aceptada,Estudiante trabajador sin apoyo economico familiar
92.70,1.00,0.50,3,MILC,90.00,13200.00,VIVIENDA_IMPROVISADA,1,1,EXCELENCIA_ACADEMICA,152,Rechazada,Promedio inferior al minimo requerido
62.80,16.00,20.00,7,LD,64.00,49000.00,CASA_PROPIA,0,1,ESCASOS_RECURSOS,202,Devuelta,Comprobante de ingresos familiar ilegible
87.10,4.00,3.00,4,MIACS,82.00,27500.00,DEPARTAMENTO,1,0,CONSTANCIA,102,Aceptada,Rendimiento sobresaliente en carrera de alta demanda
50.30,30.00,36.00,10,ECA,56.00,39500.00,RESIDENCIA,0,1,ESTUDIANTE_TRABAJO,82,Rechazada,Tipo de vivienda no coincide con escasos recursos
